"filename", "language", "Go", "Markdown", "YAML", "Go Module File", "Go Checksum File", "Shell Script", "C", "comment", "blank", "total"
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\a2l-fuzzing.yml", "YAML", 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\codacy-analysis.yml", "YAML", 0, 0, 28, 0, 0, 0, 0, 20, 7, 55
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\codacy-coverage.yml", "YAML", 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 31, 0, 0, 0, 0, 29, 11, 71
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\devskim-analysis.yml", "YAML", 0, 0, 25, 0, 0, 0, 0, 4, 6, 35
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\go-build-test-and-license.yml", "YAML", 0, 0, 23, 0, 0, 0, 0, 0, 9, 32
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\ihex32-fuzzing.yml", "YAML", 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\user0\Documents\GitHub\calibrationReader\.github\workflows\srec19-fuzzing.yml", "YAML", 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\user0\Documents\GitHub\calibrationReader\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 16, 61
"c:\Users\user0\Documents\GitHub\calibrationReader\SECURITY.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\a2l.go", "Go", 122, 0, 0, 0, 0, 0, 0, 21, 12, 155
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\a2l_test.go", "Go", 123, 0, 0, 0, 0, 0, 0, 2, 9, 134
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\a2ml.go", "Go", 28, 0, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\a2ml_version.go", "Go", 51, 0, 0, 0, 0, 0, 0, 15, 5, 71
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\addr_epk.go", "Go", 26, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_byte.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_float16_ieee.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_float32_ieee.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_float64_ieee.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_int64.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_long.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\alignment_word.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\annotation.go", "Go", 55, 0, 0, 0, 0, 0, 0, 2, 5, 62
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\annotation_label.go", "Go", 26, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\annotation_origin.go", "Go", 26, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\annotation_text.go", "Go", 32, 0, 0, 0, 0, 0, 0, 2, 5, 39
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\ar_component.go", "Go", 43, 0, 0, 0, 0, 0, 0, 17, 5, 65
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\ar_prototype_of.go", "Go", 26, 0, 0, 0, 0, 0, 0, 3, 5, 34
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\array_size.go", "Go", 32, 0, 0, 0, 0, 0, 0, 4, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\asap2_version.go", "Go", 51, 0, 0, 0, 0, 0, 0, 4, 5, 60
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_descr.go", "Go", 212, 0, 0, 0, 0, 0, 0, 46, 5, 263
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts.go", "Go", 264, 0, 0, 0, 0, 0, 0, 24, 5, 293
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts_4.go", "Go", 71, 0, 0, 0, 0, 0, 0, 2, 5, 78
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts_5.go", "Go", 71, 0, 0, 0, 0, 0, 0, 2, 5, 78
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts_ref.go", "Go", 26, 0, 0, 0, 0, 0, 0, 10, 5, 41
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts_x.go", "Go", 71, 0, 0, 0, 0, 0, 0, 2, 5, 78
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts_y.go", "Go", 71, 0, 0, 0, 0, 0, 0, 2, 5, 78
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_pts_z.go", "Go", 71, 0, 0, 0, 0, 0, 0, 2, 5, 78
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\axis_rescale_x.go", "Go", 81, 0, 0, 0, 0, 0, 0, 34, 5, 120
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\bit_mask.go", "Go", 26, 0, 0, 0, 0, 0, 0, 20, 5, 51
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\bit_operation.go", "Go", 52, 0, 0, 0, 0, 0, 0, 7, 5, 64
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\blob.go", "Go", 138, 0, 0, 0, 0, 0, 0, 2, 5, 145
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\byte_order.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\calibration_handle.go", "Go", 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\calibration_handle_text.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\calibration_method.go", "Go", 58, 0, 0, 0, 0, 0, 0, 0, 5, 63
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\characteristic.go", "Go", 329, 0, 0, 0, 0, 0, 0, 2, 5, 336
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\coeffs.go", "Go", 99, 0, 0, 0, 0, 0, 0, 0, 5, 104
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\coeffs_linear.go", "Go", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\comparison_quantity.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\compu_method.go", "Go", 113, 0, 0, 0, 0, 0, 0, 0, 5, 118
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\compu_tab.go", "Go", 107, 0, 0, 0, 0, 0, 0, 0, 5, 112
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\compu_tab_ref.go", "Go", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\compu_vtab.go", "Go", 94, 0, 0, 0, 0, 0, 0, 0, 5, 99
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\compu_vtab_range.go", "Go", 99, 0, 0, 0, 0, 0, 0, 0, 5, 104
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\consistent_exchange.go", "Go", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\cpu_type.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\curve_axis_ref.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\user0\Documents\GitHub\calibrationReader\a2l\customer.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
